Hiragana|Katakana|Waapuro|Modified Hepburn|Nihon-shiki|Kunrei-shiki
っかあ|ッカー|kkaa|kkā|kkâ|kkâ
っくう|ックー|kkuu|kkū|kkû|kkû
っけえ|ッケー|kkee|kkē|kkê|kkê
っこお|ッコー|kkoo|kkō|kkô|kkô
っこう|ッコー|kkou|kkō|kkô|kkô
っつう|ッツー|ttsuu|ttsū|ttû|ttû
ってえ|ッテー|ttee|ttē|ttê|ttê
っとお|ットー|ttoo|ttō|ttô|ttô
っとう|ットー|ttou|ttō|ttô|ttô
っさあ|ッサー|ssaa|ssā|ssâ|ssâ
っすう|ッスー|ssuu|ssū|ssû|ssû
っせえ|ッセー|ssee|ssē|ssê|ssê
っそお|ッソー|ssoo|ssō|ssô|ssô
っそう|ッソー|ssou|ssō|ssô|ssô
ったあ|ッター|ttaa|ttā|ttâ|ttâ
っなあ|ッナー|nnaa|nnā|nnâ|nnâ
っぬう|ッヌー|nnuu|nnū|nnû|nnû
っねえ|ッネー|nnee|nnē|nnê|nnê
っのお|ッノー|nnoo|nnō|nnô|nnô
っのう|ッノー|nnou|nnō|nnô|nnô
っはあ|ッハー|hhaa|hhā|hhâ|hhâ
っふう|ッフー|ffuu|ffū|hhû|hhû
っへえ|ッヘー|hhee|hhē|hhê|hhê
っほお|ッホー|hhoo|hhō|hhô|hhô
っほう|ッホー|hhou|hhō|hhô|hhô
っまあ|ッマー|mmaa|mmā|mmâ|mmâ
っむう|ッムー|mmuu|mmū|mmû|mmû
っめえ|ッメー|mmee|mmē|mmê|mmê
っもお|ッモー|mmoo|mmō|mmô|mmô
っもう|ッモー|mmou|mmō|mmô|mmô
っやあ|ッヤー|yyaa|yyā|yyâ|yyâ
っゆう|ッユー|yyuu|yyū|yyû|yyû
っよお|ッヨー|yyoo|yyō|yyô|yyô
っよう|ッヨー|yyou|yyō|yyô|yyô
っらあ|ッラー|rraa|rrā|rrâ|rrâ
っるう|ッルー|rruu|rrū|rrû|rrû
っれえ|ッレー|rree|rrē|rrê|rrê
っろお|ッロー|rroo|rrō|rrô|rrô
っろう|ッロー|rrou|rrō|rrô|rrô
っわあ|ッワー|wwaa|wwā|wwâ|wwâ
っがあ|ッガー|ggaa|ggā|ggâ|ggâ
っぐう|ッグー|gguu|ggū|ggû|ggû
っげえ|ッゲー|ggee|ggē|ggê|ggê
っごお|ッゴー|ggoo|ggō|ggô|ggô
っごう|ッゴー|ggou|ggō|ggô|ggô
っざあ|ッザー|zzaa|zzā|zzâ|zzâ
っずう|ッズー|zzuu|zzū|zzû|zzû
っぜえ|ッゼー|zzee|zzē|zzê|zzê
っぞお|ッゾー|zzoo|zzō|zzô|zzô
っぞう|ッゾー|zzou|zzō|zzô|zzô
っだあ|ッダー|ddaa|ddā|ddâ|ddâ
っづう|ッヅー|dduu|zzū|ddû|zzû
っでえ|ッデー|ddee|ddē|ddê|ddê
っどお|ッドー|ddoo|ddō|ddô|ddô
っどお|ッドー|ddou|ddō|ddô|ddô
っばう|ッバー|bbaa|bbā|bbâ|bbâ
っぶう|ッブー|bbuu|bbū|bbû|bbû
っべえ|ッベー|bbee|bbē|bbê|bbê
っぼお|ッボー|bboo|bbō|bbô|bbô
っぼう|ッボー|bbou|bbō|bbô|bbô
っぱあ|ッパー|ppaa|ppā|ppâ|ppâ
っぷう|ップー|ppuu|ppū|ppû|ppû
っぺえ|ッペー|ppee|ppē|ppê|ppê
っぽお|ッポー|ppoo|ppō|ppô|ppô
っぽう|ッポー|ppou|ppō|ppô|ppô
っきゃ|ッキャ|kkya|kkya|kkya|kkya
っきゅ|ッキュ|kkyu|kkyu|kkyu|kkyu
っきょ|ッキョ|kkyo|kkyo|kkyo|kkyo
っしゃ|ッシャ|ssha|ssha|ssya|ssya
っしゅ|ッシュ|sshu|sshu|ssyu|ssyu
っしょ|ッショ|ssho|ssho|ssyo|ssyo
っちゃ|ッチャ|ccha|tcha|ttya|ttya
っちゅ|ッチュ|cchu|tchu|ttyu|ttyu
っちょ|ッチョ|ccho|tcho|ttyo|ttyo
っひゃ|ッヒャ|hhya|hhya|hhya|hhya
っひゅ|ッヒュ|hhyu|hhyu|hhyu|hhyu
っひょ|ッヒョ|hhyo|hhyo|hhyo|hhyo
っにゃ|ッニャ|nnya|nnya|nnya|nnya
っにゅ|ッニュ|nnyu|nnyu|nnyu|nnyu
っにょ|ッニョ|nnyo|nnyo|nnyo|nnyo
っみゃ|ッミャ|mmya|mmya|mmya|mmya
っみゅ|ッミュ|mmyu|mmyu|mmyu|mmyu
っみょ|ッミョ|mmyo|mmyo|mmyo|mmyo
っぎゃ|ッギャ|ggya|ggya|ggya|ggya
っぎゅ|ッギュ|ggyu|ggyu|ggyu|ggyu
っぎょ|ッギョ|ggyo|ggyo|ggyo|ggyo
っりゃ|ッリャ|rrya|rrya|rrya|rrya
っりゅ|ッリュ|rryu|rryu|rryu|rryu
っりょ|ッリョ|rryo|rryo|rryo|rryo
っじゃ|ッジャ|jja|jja|zzya|zzya
っじゅ|ッジュ|jju|jju|zzyu|zzyu
っじょ|ッジョ|jjo|jjo|zzyo|zzyo
っぢゃ|ッヂャ|ddya|jja|ddya|zzya
っぢゅ|ッヂュ|ddyu|jju|ddyu|zzyu
っぢょ|ッヂョ|ddyo|jjo|ddyo|zzyo
っびゃ|ッビャ|bbya|bbya|bbya|bbya
っびゅ|ッビュ|bbyu|bbyu|bbyu|bbyu
っびょ|ッビョ|bbyo|bbyo|bbyo|bbyo
っぴゃ|ッピャ|ppya|ppya|ppya|ppya
っぴゅ|ッピュ|ppyu|ppyu|ppyu|ppyu
っぴょ|ッピョ|ppyo|ppyo|ppyo|ppyo
っや|ッヤ|yya|yya|yya|yya
っゆ|ッユ|yyu|yyu|yyu|yyu
っよ|ッヨ|yyo|yyo|yyo|yyo
っか|ッカ|kka|kka|kka|kka
っき|ッキ|kki|kki|kki|kki
っく|ック|kku|kku|kku|kku
っけ|ッケ|kke|kke|kke|kke
っこ|ッコ|kko|kko|kko|kko
った|ッタ|tta|tta|tta|tta
っち|ッチ|cchi|cchi|tti|tti
っつ|ッツ|ttsu|ttsu|ttu|ttu
って|ッテ|tte|tte|tte|tte
っと|ット|tto|tto|tto|tto
っさ|ッサ|ssa|ssa|ssa|ssa
っし|ッシ|sshi|sshi|ssi|ssi
っす|ッス|ssu|ssu|ssu|ssu
っせ|ッセ|sse|sse|sse|sse
っそ|ッソ|sso|sso|sso|sso
っな|ッナ|nna|nna|nna|nna
っに|ッニ|nni|nni|nni|nni
っぬ|ッヌ|nnu|nnu|nnu|nnu
っね|ッネ|nne|nne|nne|nne
っの|ッノ|nno|nno|nno|nno
っは|ッハ|hha|hha|hha|hha
っひ|ッヒ|hhi|hhi|hhi|hhi
っふ|ッフ|ffu|ffu|hhu|hhu
っへ|ッヘ|hhe|hhe|hhe|hhe
っほ|ッホ|hho|hho|hho|hho
っま|ッマ|mma|mma|mma|mma
っみ|ッミ|mmi|mmi|mmi|mmi
っむ|ッム|mmu|mmu|mmu|mmu
っめ|ッメ|mme|mme|mme|mme
っも|ッモ|mmo|mmo|mmo|mmo
っや|ッヤ|yya|yya|yya|yya
っゆ|ッユ|yyu|yyu|yyu|yyu
っよ|ッヨ|yyo|yyo|yyo|yyo
っら|ッラ|rra|rra|rra|rra
っり|ッリ|rri|rri|rri|rri
っる|ッル|rru|rru|rru|rru
っれ|ッレ|rre|rre|rre|rre
っろ|ッロ|rro|rro|rro|rro
っわ|ッワ|wwa|wwa|wwa|wwa
っが|ッガ|gga|gga|gga|gga
っぎ|ッギ|ggi|ggi|ggi|ggi
っぐ|ッグ|ggu|ggu|ggu|ggu
っげ|ッゲ|gge|gge|gge|gge
っご|ッゴ|ggo|ggo|ggo|ggo
っざ|ッザ|zza|zza|zza|zza
っじ|ッジ|jji|jji|zzi|zzi
っず|ッズ|zzu|zzu|zzu|zzu
っぜ|ッゼ|zze|zze|zze|zze
っぞ|ッゾ|zzo|zzo|zzo|zzo
っだ|ッダ|dda|dda|dda|dda
っぢ|ッヂ|ddi|jji|ddi|zzi
っづ|ッヅ|ddu|zzu|ddu|zzu
っで|ッデ|dde|dde|dde|dde
っど|ッド|ddo|ddo|ddo|ddo
っば|ッバ|bba|bba|bba|bba
っび|ッビ|bbi|bbi|bbi|bbi
っぶ|ッブ|bbu|bbu|bbu|bbu
っべ|ッベ|bbe|bbe|bbe|bbe
っぼ|ッボ|bbo|bbo|bbo|bbo
っぱ|ッパ|ppa|ppa|ppa|ppa
っぴ|ッピ|ppi|ppi|ppi|ppi
っぷ|ップ|ppu|ppu|ppu|ppu
っぺ|ッペ|ppe|ppe|ppe|ppe
っぽ|ッポ|ppo|ppo|ppo|ppo
きゃあ|キャー|kyaa|kyā|kyâ|kyâ
きゅう|キュー|kyuu|kyū|kyû|kyû
きょお|キョー|kyoo|kyō|kyô|kyô
きょう|キョー|kyou|kyō|kyô|kyô
しゃあ|シャー|shaa|shā|syâ|syâ
しゅう|シュー|shuu|shū|syû|syû
しょお|ショー|shoo|shō|syô|syô
しょう|ショー|shou|shō|syô|syô
ちゃあ|チャー|chaa|chā|tyâ|tyâ
ちゅう|チュー|chuu|chū|tyû|tyû
ちょお|チョー|choo|chō|tyô|tyô
ちょう|チョー|chou|chō|tyô|tyô
ひゃあ|ヒャー|hyaa|hyā|hyâ|hyâ
ひゅう|ヒュー|hyuu|hyū|hyû|hyû
ひょお|ヒョー|hyoo|hyō|hyô|hyô
ひょう|ヒョー|hyou|hyō|hyô|hyô
にゃあ|ニャー|nyaa|nyā|nyâ|nyâ
にゅう|ニュー|nyuu|nyū|nyû|nyû
にょお|ニョー|nyoo|nyō|nyô|nyô
にょう|ニョー|nyou|nyō|nyô|nyô
みゃあ|ミャー|myaa|myā|myâ|myâ
みゅう|ミュー|myuu|myū|myû|myû
みょお|ミョー|myoo|myō|myô|myô
みょう|ミョー|myou|myō|myô|myô
ぎゃあ|ギャー|gyaa|gyā|gyâ|gyâ
ぎゅう|ギュー|gyuu|gyū|gyû|gyû
ぎょお|ギョー|gyoo|gyō|gyô|gyô
ぎょう|ギョー|gyou|gyō|gyô|gyô
りゃあ|リャー|ryaa|ryā|ryâ|ryâ
りゅう|リュー|ryuu|ryū|ryû|ryû
りょお|リョー|ryoo|ryō|ryô|ryô
りょう|リョー|ryou|ryō|ryô|ryô
じゃあ|ジャー|jaa|jā|zyâ|zyâ
じゅう|ジュー|juu|jū|zyû|zyû
じょお|ジョー|joo|jō|zyô|zyô
じょう|ジョー|joo|jō|zyô|zyô
ぢゃあ|ヂャー|dyaa|jā|dyâ|zyâ
ぢゅう|ヂュー|dyuu|jū|dyû|zyû
ぢょお|ヂョー|dyoo|jō|dyô|zyô
ぢょう|ヂョー|dyou|jō|dyô|zyô
びゃあ|ビャー|byaa|byā|byâ|byâ
びゅう|ビュー|byuu|byū|byû|byû
びょお|ビョー|byoo|byō|byô|byô
びょう|ビョー|byou|byō|byô|byô
ぴゃあ|ピャー|pyaa|pyā|pyâ|pyâ
ぴゅう|ピュー|pyuu|pyū|pyû|pyû
ぴょお|ピョー|pyoo|pyō|pyô|pyô
ぴょう|ピョー|pyou|pyō|pyô|pyô
かあ|カー|kaa|kā|kâ|kâ
くう|クー|kuu|kū|kû|kû
けえ|ケー|kee|kē|kê|kê
こお|コー|koo|kō|kô|kô
こう|コー|kou|kō|kô|kô
つう|ツー|tsuu|tsū|tû|tû
てえ|テー|tee|tē|tê|tê
とお|トー|too|tō|tô|tô
とう|トー|tou|tō|tô|tô
さあ|サー|saa|sā|sâ|sâ
すう|スー|suu|sū|sû|sû
せえ|セー|see|sē|sê|sê
そお|ソー|soo|sō|sô|sô
そう|ソー|sou|sō|sô|sô
たあ|ター|taa|tā|tâ|tâ
なあ|ナー|naa|nā|nâ|nâ
ぬう|ヌー|nuu|nū|nû|nû
ねえ|ネー|nee|nē|nê|nê
のお|ノー|noo|nō|nô|nô
のう|ノー|nou|nō|nô|nô
はあ|ハー|haa|hā|hâ|hâ
ふう|フー|fuu|fū|hû|hû
へえ|ヘー|hee|hē|hê|hê
ほお|ホー|hoo|hō|hô|hô
ほう|ホー|hou|hō|hô|hô
まあ|マー|maa|mā|mâ|mâ
むう|ムー|muu|mū|mû|mû
めえ|メー|mee|mē|mê|mê
もお|モー|moo|mō|mô|mô
もう|モー|mou|mō|mô|mô
やあ|ヤー|yaa|yā|yâ|yâ
ゆう|ユー|yuu|yū|yû|yû
よお|ヨー|yoo|yō|yô|yô
よう|ヨー|you|yō|yô|yô
らあ|ラー|raa|rā|râ|râ
るう|ルー|ruu|rū|rû|rû
れえ|レー|ree|rē|rê|rê
ろお|ロー|roo|rō|rô|rô
ろう|ロー|rou|rō|rô|rô
わあ|ワー|waa|wā|wâ|wâ
ゑえ|ヱー|ee|ē|wê|ê
があ|ガー|gaa|gā|gâ|gâ
ぐう|グー|guu|gū|gû|gû
げえ|ゲー|gee|gē|gê|gê
ごお|ゴー|goo|gō|gô|gô
ごう|ゴー|gou|gō|gô|gô
ざあ|ザー|zaa|zā|zâ|zâ
ずう|ズー|zuu|zū|zû|zû
ぜえ|ゼー|zee|zē|zê|zê
ぞお|ゾー|zoo|zō|zô|zô
ぞう|ゾー|zou|zō|zô|zô
だあ|ダー|daa|dā|dâ|dâ
づう|ヅー|duu|zū|dû|zû
でえ|デー|dee|dē|dê|dê
どお|ドー|doo|dō|dô|dô
どお|ドー|dou|dō|dô|dô
ばう|バー|baa|bā|bâ|bâ
ぶう|ブー|buu|bū|bû|bû
べえ|ベー|bee|bē|bê|bê
ぼお|ボー|boo|bō|bô|bô
ぼう|ボー|bou|bō|bô|bô
ぱあ|パー|paa|pā|pâ|pâ
ぷう|プー|puu|pū|pû|pû
ぺえ|ペー|pee|pē|pê|pê
ぽお|ポー|poo|pō|pô|pô
ぽう|ポー|pou|pō|pô|pô
きゃ|キャ|kya|kya|kya|kya
きゅ|キュ|kyu|kyu|kyu|kyu
きょ|キョ|kyo|kyo|kyo|kyo
しゃ|シャ|sha|sha|sya|sya
しゅ|シュ|shu|shu|syu|syu
しょ|ショ|sho|sho|syo|syo
ちゃ|チャ|cha|cha|tya|tya
ちゅ|チュ|chu|chu|tyu|tyu
ちょ|チョ|cho|cho|tyo|tyo
ひゃ|ヒャ|hya|hya|hya|hya
ひゅ|ヒュ|hyu|hyu|hyu|hyu
ひょ|ヒョ|hyo|hyo|hyo|hyo
にゃ|ニャ|nya|nya|nya|nya
にゅ|ニュ|nyu|nyu|nyu|nyu
にょ|ニョ|nyo|nyo|nyo|nyo
みゃ|ミャ|mya|mya|mya|mya
みゅ|ミュ|myu|myu|myu|myu
みょ|ミョ|myo|myo|myo|myo
ぎゃ|ギャ|gya|gya|gya|gya
ぎゅ|ギュ|gyu|gyu|gyu|gyu
ぎょ|ギョ|gyo|gyo|gyo|gyo
りゃ|リャ|rya|rya|rya|rya
りゅ|リュ|ryu|ryu|ryu|ryu
りょ|リョ|ryo|ryo|ryo|ryo
じゃ|ジャ|ja|ja|zya|zya
じゅ|ジュ|ju|ju|zyu|zyu
じょ|ジョ|jo|jo|zyo|zyo
ぢゃ|ヂャ|dya|ja|dya|zya
ぢゅ|ヂュ|dyu|ju|dyu|zyu
ぢょ|ヂョ|dyo|jo|dyo|zyo
びゃ|ビャ|bya|bya|bya|bya
びゅ|ビュ|byu|byu|byu|byu
びょ|ビョ|byo|byo|byo|byo
ぴゃ|ピャ|pya|pya|pya|pya
ぴゅ|ピュ|pyu|pyu|pyu|pyu
ぴょ|ピョ|pyo|pyo|pyo|pyo
ああ|アー|aa|ā|â|â
うう|ウー|uu|ū|û|û
ええ|エー|ee|ē|ê|ê
おお|オー|oo|ō|ô|ô
おう|オー|ou|ō|ô|ô
あぁ|アァ|aa|ā|â|â
うぅ|ウゥ|uu|ū|û|û
えぇ|エェ|ee|ē|ê|ê
おぉ|オォ|oo|ō|ô|ô
おぅ|オゥ|ou|ō|ô|ô
ゔぁあ|ヴァー|vaa|vaa|vaa|vaa
ゔぃい|ヴィー|vii|vii|vii|vii
ゔぇえ|ヴェー|vee|vee|vee|vee
ゔぉお|ヴォー|voo|voo|voo|voo
ゔぁ|ヴァ|va|va|va|va
ゔぃ|ヴィ|vi|vi|vi|vi
ゔぇ|ヴェ|ve|ve|ve|ve
ゔぉ|ヴォ|vo|vo|vo|vo
ゔゝ|ヴヽ|vuvu|vuvu|vuvu|vuvu
|ヷヽ|vava|vava|vava|vava
|ヸヽ|vivi|vivi|vivi|vivi
|ヹヽ|veve|veve|veve|veve
|ヺヽ|vovo|vovo|vovo|vovo
やゝ|ヤヽ|yaya|yaya|yaya|yaya
ゆゝ|ユヽ|yuyu|yuyu|yuyu|yuyu
よゝ|ヨヽ|yoyo|yoyo|yoyo|yoyo
かゝ|カヽ|kaka|kaka|kaka|kaka
きゝ|キヽ|kiki|kiki|kiki|kiki
くゝ|クヽ|kuku|kuku|kuku|kuku
けゝ|ケヽ|keke|keke|keke|keke
こゝ|コヽ|koko|koko|koko|koko
つゝ|ツヽ|tsutsu|tsutsu|tutu|tutu
てゝ|テヽ|tete|tete|tete|tete
とゝ|トヽ|toto|toto|toto|toto
さゝ|サヽ|sasa|sasa|sasa|sasa
しゝ|シヽ|shishi|shishi|sisi|sisi
すゝ|スヽ|susu|susu|susu|susu
せゝ|セヽ|sese|sese|sese|sese
そゝ|ソヽ|soso|soso|soso|soso
たゝ|タヽ|tata|tata|tata|tata
ちゝ|チヽ|chichi|chichi|titi|titi
なゝ|ナヽ|nana|nana|nana|nana
にゝ|ニヽ|nini|nini|nini|nini
ぬゝ|ヌヽ|nunu|nunu|nunu|nunu
ねゝ|ネヽ|nene|nene|nene|nene
のゝ|ノヽ|nono|nono|nono|nono
はゝ|ハヽ|haha|haha|haha|haha
ひゝ|ヒヽ|hihi|hihi|hihi|hihi
ふゝ|フヽ|fufu|fufu|huhu|huhu
へゝ|ヘヽ|hehe|hehe|hehe|hehe
ほゝ|ホヽ|hoho|hoho|hoho|hoho
まゝ|マヽ|mama|mama|mama|mama
みゝ|ミヽ|mimi|mimi|mimi|mimi
むゝ|ムヽ|mumu|mumu|mumu|mumu
めゝ|メヽ|meme|meme|meme|meme
もゝ|モヽ|momo|momo|momo|momo
やゝ|ヤヽ|yaya|yaya|yaya|yaya
ゆゝ|ユヽ|yuyu|yuyu|yuyu|yuyu
よゝ|ヨヽ|yoyo|yoyo|yoyo|yoyo
らゝ|ラヽ|rara|rara|rara|rara
りゝ|リヽ|riri|riri|riri|riri
るゝ|ルヽ|ruru|ruru|ruru|ruru
れゝ|レヽ|rere|rere|rere|rere
ろゝ|ロヽ|roro|roro|roro|roro
わゝ|ワヽ|wawa|wawa|wawa|wawa
ゐゝ|ヰヽ|wiwi|ii|wiwi|ii
ゑゝ|ヱヽ|wewe|ee|wewe|ee
をゝ|ヲヽ|wowo|oo|wowo|oo
がゝ|ガヽ|gaga|gaga|gaga|gaga
ぎゝ|ギヽ|gigi|gigi|gigi|gigi
ぐゝ|グヽ|gugu|gugu|gugu|gugu
げゝ|ゲヽ|gege|gege|gege|gege
ごゝ|ゴヽ|gogo|gogo|gogo|gogo
ざゝ|ザヽ|zaza|zaza|zaza|zaza
じゝ|ジヽ|jiji|jiji|zizi|zizi
ずゝ|ズヽ|zuzu|zuzu|zuzu|zuzu
ぜゝ|ゼヽ|zeze|zeze|zeze|zeze
ぞゝ|ゾヽ|zozo|zozo|zozo|zozo
だゝ|ダヽ|dada|dada|dada|dada
ぢゝ|ヂヽ|didi|jiji|didi|zizi
づゝ|ヅヽ|dudu|zuzu|dudu|zuzu
でゝ|デヽ|dede|dede|dede|dede
どゝ|ドヽ|dodo|dodo|dodo|dodo
ばゝ|バヽ|baba|baba|baba|baba
びゝ|ビヽ|bibi|bibi|bibi|bibi
ぶゝ|ブヽ|bubu|bubu|bubu|bubu
べゝ|ベヽ|bebe|bebe|bebe|bebe
ぼゝ|ボヽ|bobo|bobo|bobo|bobo
ぱゝ|パヽ|papa|papa|papa|papa
ぴゝ|ピヽ|pipi|pipi|pipi|pipi
ぷゝ|プヽ|pupu|pupu|pupu|pupu
ぺゝ|ペヽ|pepe|pepe|pepe|pepe
ぽゝ|ポヽ|popo|popo|popo|popo
あゝ|アヽ|aa|aa|aa|aa
いゝ|イヽ|ii|ii|ii|ii
うゝ|ウヽ|uu|uu|uu|uu
えゝ|エヽ|ee|ee|ee|ee
おゝ|オヽ|oo|oo|oo|oo
かゞ|カヾ|kaga|kaga|kaga|kaga
きゞ|キヾ|kigi|kigi|kigi|kigi
くゞ|クヾ|kugu|kugu|kugu|kugu
けゞ|ケヾ|kege|kege|kege|kege
こゞ|コヾ|kogo|kogo|kogo|kogo
つゞ|ツヾ|tsudu|tsuzu|tudu|tuzu
てゞ|テヾ|tede|tede|tede|tede
とゞ|トヾ|todo|todo|todo|todo
さゞ|サヾ|saza|saza|saza|saza
しゞ|シヾ|shiji|shiji|sizi|sizi
すゞ|スヾ|suzu|suzu|suzu|suzu
せゞ|セヾ|seze|seze|seze|seze
そゞ|ソヾ|sozo|sozo|sozo|sozo
たゞ|タヾ|tada|tada|tada|tada
ちゞ|チヾ|chidi|chiji|tidi|tizi
はゞ|ハヾ|haba|haba|haba|haba
ひゞ|ヒヾ|hibi|hibi|hibi|hibi
ふゞ|フヾ|fubu|fubu|fubu|fubu
へゞ|ヘヾ|hebe|hebe|hebe|hebe
ほゞ|ホヾ|hobo|hobo|hobo|hobo
がゞ|ガヾ|gaga|gaga|gaga|gaga
ぎゞ|ギヾ|gigi|gigi|gigi|gigi
ぐゞ|グヾ|gugu|gugu|gugu|gugu
げゞ|ゲヾ|gege|gege|gege|gege
ごゞ|ゴヾ|gogo|gogo|gogo|gogo
ざゞ|ザヾ|zaza|zaza|zaza|zaza
じゞ|ジヾ|jiji|jiji|zizi|zizi
ずゞ|ズヾ|zuzu|zuzu|zuzu|zuzu
ぜゞ|ゼヾ|zeze|zeze|zeze|zeze
ぞゞ|ゾヾ|zozo|zozo|zozo|zozo
だゞ|ダヾ|dada|dada|dada|dada
ぢゞ|ヂヾ|didi|jiji|didi|zizi
づゞ|ヅヾ|dudu|zuzu|dudu|zuzu
でゞ|デヾ|dede|dede|dede|dede
どゞ|ドヾ|dodo|dodo|dodo|dodo
ばゞ|バヾ|baba|baba|baba|baba
びゞ|ビヾ|bibi|bibi|bibi|bibi
ぶゞ|ブヾ|bubu|bubu|bubu|bubu
べゞ|ベヾ|bebe|bebe|bebe|bebe
ぼゞ|ボヾ|bobo|bobo|bobo|bobo
ぱゞ|パヾ|paba|paba|paba|paba
ぴゞ|ピヾ|pibi|pibi|pibi|pibi
ぷゞ|プヾ|pubu|pubu|pubu|pubu
ぺゞ|ペヾ|pebe|pebe|pebe|pebe
ぽゞ|ポヾ|pobo|pobo|pobo|pobo
でぇ|デェ|dhe|*|*|*
ぢぃ|ディ|dhi|*|*|*
でょ|デョ|dho|*|*|*
でゅ|デュ|dhu|*|*|*
でゃ|デャ|dhi|*|*|*
てぇ|テェ|the|*|*|*
てぃ|ティ|thi|*|*|*
てょ|テョ|tho|*|*|*
てゅ|テュ|thu|*|*|*
てゃ|テャ|tha|*|*|*
うぇ|ウェ|whe|*|*|*
うぃ|ウィ|whi|*|*|*
うぉ|ウォ|who|*|*|*
うぁ|ウァ|wha|*|*|*
かぁ|カァ|kaa|kā|kâ|kâ
くぅ|クゥ|kuu|kū|kû|kû
けぇ|ケェ|kee|kē|kê|kê
こぉ|コォ|koo|kō|kô|kô
こぅ|コゥ|kou|kō|kô|kô
つぅ|ツゥ|tsuu|tsū|tû|tû
てぇ|テェ|tee|tē|tê|tê
とぉ|トォ|too|tō|tô|tô
とぅ|トェ|tou|tō|tô|tô
さぁ|サァ|saa|sā|sâ|sâ
すぅ|スゥ|suu|sū|sû|sû
せぇ|セェ|see|sē|sê|sê
そぉ|ソォ|soo|sō|sô|sô
